k 15 
p edge 500 4459 
e 92 13 60
e 92 91 11
e 93 12 5
e 93 13 52
e 93 14 31
e 93 92 13
e 94 13 60
e 94 14 60
e 94 15 47
e 94 93 4
e 95 14 51
e 95 15 49
e 95 16 10
e 95 94 55
e 96 15 43
e 96 16 21
e 96 17 23
e 96 95 2
e 97 16 23
e 97 17 61
e 97 18 68
e 97 96 3
e 98 17 12
e 98 18 3
e 98 19 28
e 98 97 33
e 99 18 45
e 99 19 16
e 99 20 37
e 99 98 46
e 100 19 64
e 100 20 7
e 100 21 3
e 100 99 22
e 101 20 60
e 101 21 34
e 101 22 30
e 101 100 2
e 102 21 17
e 102 22 56
e 102 23 30
e 102 101 23
e 103 22 18
e 103 23 9
e 103 24 45
e 103 102 37
e 104 23 1
e 104 24 48
e 104 25 68
e 104 103 4
e 105 24 14
e 105 25 2
e 105 26 69
e 105 104 7
e 106 25 23
e 106 26 64
e 106 27 59
e 106 105 19
e 107 26 56
e 107 27 50
e 107 28 64
e 107 106 27
e 108 27 26
e 108 28 42
e 108 29 65
e 108 107 36
e 109 28 52
e 109 29 7
e 109 30 12
e 109 108 44
e 110 29 60
e 110 30 34
e 110 31 51
e 110 109 47
e 111 30 57
e 111 31 61
e 111 32 36
e 111 110 27
e 112 31 32
e 112 32 64
e 112 33 54
e 112 111 36
e 113 32 69
e 113 33 53
e 113 34 38
e 113 112 70
e 114 33 15
e 114 34 59
e 114 35 33
e 114 113 23
e 115 34 61
e 115 35 66
e 115 36 20
e 115 114 7
e 116 35 69
e 116 36 54
e 116 37 24
e 116 115 56
e 117 36 45
e 117 37 5
e 117 38 70
e 117 116 3
e 118 37 62
e 118 38 49
e 118 39 62
e 118 117 4
e 119 38 63
e 119 39 25
e 119 40 68
e 119 118 4
e 120 39 52
e 120 40 11
e 120 41 59
e 120 119 57
e 121 40 5
e 121 41 57
e 121 42 5
e 121 120 53
e 122 41 31
e 122 42 19
e 122 43 52
e 122 121 57
e 123 42 42
e 123 43 49
e 123 44 22
e 123 122 70
e 124 43 54
e 124 44 66
e 124 45 70
e 124 123 43
e 125 44 2
e 125 45 6
e 125 46 15
e 125 124 47
e 126 45 14
e 126 46 57
e 126 47 33
e 126 125 38
e 127 46 29
e 127 47 64
e 127 48 25
e 127 126 3
e 128 47 64
e 128 48 57
e 128 49 38
e 128 127 22
e 129 48 29
e 129 49 46
e 129 50 15
e 129 128 45
e 130 49 15
e 130 50 38
e 130 51 60
e 130 129 63
e 131 50 25
e 131 51 16
e 131 52 11
e 131 130 35
e 132 51 41
e 132 52 16
e 132 53 21
e 132 131 14
e 133 52 62
e 133 53 65
e 133 54 9
e 133 132 32
e 134 53 11
e 134 54 36
e 134 55 4
e 134 133 61
e 135 54 22
e 135 55 57
e 135 56 31
e 135 134 52
e 136 55 23
e 136 56 2
e 136 57 14
e 136 135 62
e 137 56 45
e 137 57 50
e 137 58 64
e 137 136 61
e 138 57 7
e 138 58 49
e 138 59 54
e 138 137 56
e 139 58 24
e 139 59 47
e 139 60 21
e 139 138 52
e 140 59 69
e 140 60 5
e 140 61 60
e 140 139 4
e 141 60 42
e 141 61 15
e 141 62 30
e 141 140 45
e 142 61 59
e 142 62 30
e 142 63 66
e 142 141 11
e 143 62 27
e 143 63 56
e 143 64 6
e 143 142 69
e 144 63 47
e 144 64 57
e 144 65 53
e 144 143 30
e 145 64 58
e 145 65 1
e 145 66 64
e 145 144 7
e 146 65 54
e 146 66 53
e 146 67 58
e 146 145 5
e 147 66 23
e 147 67 70
e 147 68 65
e 147 146 70
e 148 67 26
e 148 68 43
e 148 69 42
e 148 147 17
e 149 68 48
e 149 69 68
e 149 70 26
e 149 148 62
e 150 69 64
e 150 70 9
e 150 71 11
e 150 149 6
e 151 70 46
e 151 71 46
e 151 72 70
e 151 150 69
e 152 71 6
e 152 72 23
e 152 73 56
e 152 151 2
e 153 72 30
e 153 73 57
e 153 74 67
e 153 152 22
e 154 73 63
e 154 74 15
e 154 75 19
e 154 153 12
e 155 74 65
e 155 75 44
e 155 76 41
e 155 154 24
e 156 75 69
e 156 76 14
e 156 77 61
e 156 155 20
e 157 76 19
e 157 77 57
e 157 78 37
e 157 156 44
e 158 77 59
e 158 78 19
e 158 79 3
e 158 157 7
e 159 78 11
e 159 79 39
e 159 80 3
e 159 158 10
e 160 1 17
e 160 79 6
e 160 80 1
e 160 81 19
e 160 159 68
e 161 1 7
e 161 2 35
e 161 80 70
e 161 81 66
e 161 82 1
e 161 160 9
e 162 1 5
e 162 2 3
e 162 3 67
e 162 81 37
e 162 82 5
e 162 83 58
e 162 161 59
e 163 2 14
e 163 3 59
e 163 4 21
e 163 82 29
e 163 83 33
e 163 84 8
e 163 162 44
e 164 3 51
e 164 4 56
e 164 5 21
e 164 83 10
e 164 84 62
e 164 85 60
e 164 163 24
e 165 4 64
e 165 5 5
e 165 6 8
e 165 84 58
e 165 85 50
e 165 86 15
e 165 164 18
e 166 5 69
e 166 6 58
e 166 7 22
e 166 85 65
e 166 86 54
e 166 87 28
e 166 165 58
e 167 6 55
e 167 7 60
e 167 8 10
e 167 86 45
e 167 87 3
e 167 88 30
e 167 166 34
e 168 7 43
e 168 8 5
e 168 9 62
e 168 87 3
e 168 88 55
e 168 89 5
e 168 167 23
e 169 8 70
e 169 9 45
e 169 10 41
e 169 88 62
e 169 89 20
e 169 90 47
e 169 168 15
e 170 9 63
e 170 10 3
e 170 11 7
e 170 89 48
e 170 90 50
e 170 91 45
e 170 169 4
e 171 10 42
e 171 11 17
e 171 12 62
e 171 90 19
e 171 91 47
e 171 92 22
e 171 170 66
e 172 11 48
e 172 12 19
e 172 13 56
e 172 91 55
e 172 92 4
e 172 93 23
e 172 171 18
e 173 12 25
e 173 13 17
e 173 14 47
e 173 92 1
e 173 93 60
e 173 94 62
e 173 172 17
e 174 13 23
e 174 14 30
e 174 15 32
e 174 93 56
e 174 94 7
e 174 95 37
e 174 173 32
e 175 14 2
e 175 15 16
e 175 16 45
e 175 94 43
e 175 95 22
e 175 96 17
e 175 174 48
e 176 15 39
e 176 16 3
e 176 17 5
e 176 95 37
e 176 96 43
e 176 97 67
e 176 175 54
e 177 16 17
e 177 17 44
e 177 18 24
e 177 96 61
e 177 97 28
e 177 98 37
e 177 176 61
e 178 17 5
e 178 18 1
e 178 19 47
e 178 97 49
e 178 98 46
e 178 99 60
e 178 177 44
e 179 18 36
e 179 19 20
e 179 20 46
e 179 98 25
e 179 99 33
e 179 100 54
e 179 178 13
e 180 19 3
e 180 20 67
e 180 21 62
e 180 99 28
e 180 100 27
e 180 101 68
e 180 179 58
e 181 20 36
e 181 21 29
e 181 22 3
e 181 100 64
e 181 101 53
e 181 102 17
e 181 180 24
e 182 21 34
e 182 22 52
e 182 23 11
e 182 101 43
e 182 102 35
e 182 103 38
e 182 181 39
e 183 22 23
e 183 23 11
e 183 24 21
e 183 102 11
e 183 103 66
e 183 104 58
e 183 182 25
e 184 23 66
e 184 24 43
e 184 25 16
e 184 103 52
e 184 104 40
e 184 105 27
e 184 183 8
e 185 24 34
e 185 25 58
e 185 26 57
e 185 104 50
e 185 105 23
e 185 106 22
e 185 184 61
e 186 25 53
e 186 26 3
e 186 27 16
e 186 105 52
e 186 106 21
e 186 107 60
e 186 185 33
e 187 26 15
e 187 27 53
e 187 28 55
e 187 106 23
e 187 107 12
e 187 108 40
e 187 186 39
e 188 27 41
e 188 28 11
e 188 29 20
e 188 107 30
e 188 108 16
e 188 109 21
e 188 187 3
e 189 28 56
e 189 29 36
e 189 30 11
e 189 108 43
e 189 109 24
e 189 110 16
e 189 188 57
e 190 29 23
e 190 30 34
e 190 31 36
e 190 109 28
e 190 110 46
e 190 111 6
e 190 189 34
e 191 30 19
e 191 31 31
e 191 32 41
e 191 110 51
e 191 111 31
e 191 112 36
e 191 190 21
e 192 31 37
e 192 32 55
e 192 33 24
e 192 111 19
e 192 112 5
e 192 113 32
e 192 191 16
e 193 32 3
e 193 33 34
e 193 34 14
e 193 112 29
e 193 113 9
e 193 114 35
e 193 192 33
e 194 33 12
e 194 34 14
e 194 35 40
e 194 113 18
e 194 114 45
e 194 115 21
e 194 193 9
e 195 34 58
e 195 35 63
e 195 36 34
e 195 114 47
e 195 115 8
e 195 116 9
e 195 194 29
e 196 35 29
e 196 36 46
e 196 37 63
e 196 115 15
e 196 116 16
e 196 117 4
e 196 195 43
e 197 36 14
e 197 37 15
e 197 38 2
e 197 116 65
e 197 117 55
e 197 118 22
e 197 196 40
e 198 37 3
e 198 38 1
e 198 39 57
e 198 117 12
e 198 118 69
e 198 119 28
e 198 197 16
e 199 38 21
e 199 39 11
e 199 40 69
e 199 118 31
e 199 119 44
e 199 120 6
e 199 198 27
e 200 39 29
e 200 40 37
e 200 41 62
e 200 119 51
e 200 120 66
e 200 121 19
e 200 199 38
e 201 40 16
e 201 41 46
e 201 42 30
e 201 120 48
e 201 121 48
e 201 122 41
e 201 200 62
e 202 41 8
e 202 42 10
e 202 43 70
e 202 121 7
e 202 122 22
e 202 123 70
e 202 201 24
e 203 42 57
e 203 43 47
e 203 44 5
e 203 122 67
e 203 123 63
e 203 124 17
e 203 202 21
e 204 43 40
e 204 44 61
e 204 45 6
e 204 123 30
e 204 124 23
e 204 125 58
e 204 203 22
e 205 44 38
e 205 45 38
e 205 46 63
e 205 124 58
e 205 125 6
e 205 126 65
e 205 204 55
e 206 45 37
e 206 46 33
e 206 47 17
e 206 125 65
e 206 126 59
e 206 127 32
e 206 205 35
e 207 46 11
e 207 47 16
e 207 48 12
e 207 126 32
e 207 127 65
e 207 128 20
e 207 206 54
e 208 47 40
e 208 48 54
e 208 49 46
e 208 127 3
e 208 128 25
e 208 129 56
e 208 207 12
e 209 48 63
e 209 49 61
e 209 50 29
e 209 128 56
e 209 129 34
e 209 130 2
e 209 208 21
e 210 49 49
e 210 50 45
e 210 51 48
e 210 129 37
e 210 130 46
e 210 131 47
e 210 209 64
e 211 50 45
e 211 51 29
e 211 52 28
e 211 130 7
e 211 131 33
e 211 132 2
e 211 210 5
e 212 51 24
e 212 52 68
e 212 53 12
e 212 131 60
e 212 132 60
e 212 133 19
e 212 211 37
e 213 52 38
e 213 53 47
e 213 54 60
e 213 132 28
e 213 133 1
e 213 134 16
e 213 212 18
e 214 53 57
e 214 54 24
e 214 55 65
e 214 133 25
e 214 134 21
e 214 135 46
e 214 213 13
e 215 54 3
e 215 55 69
e 215 56 20
e 215 134 16
e 215 135 24
e 215 136 69
e 215 214 65
e 216 55 6
e 216 56 38
e 216 57 37
e 216 135 54
e 216 136 17
e 216 137 10
e 216 215 27
e 217 56 19
e 217 57 32
e 217 58 48
e 217 136 5
e 217 137 11
e 217 138 23
e 217 216 40
e 218 57 70
e 218 58 2
e 218 59 55
e 218 137 19
e 218 138 61
e 218 139 24
e 218 217 12
e 219 58 41
e 219 59 26
e 219 60 4
e 219 138 35
e 219 139 67
e 219 140 35
e 219 218 68
e 220 59 46
e 220 60 40
e 220 61 57
e 220 139 42
e 220 140 36
e 220 141 5
e 220 219 49
e 221 60 70
e 221 61 20
e 221 62 28
e 221 140 45
e 221 141 19
e 221 142 50
e 221 220 27
e 222 61 14
e 222 62 44
e 222 63 46
e 222 141 62
e 222 142 51
e 222 143 16
e 222 221 2
e 223 62 22
e 223 63 46
e 223 64 3
e 223 142 23
e 223 143 49
e 223 144 12
e 223 222 54
e 224 63 43
e 224 64 46
e 224 65 3
e 224 143 39
e 224 144 58
e 224 145 37
e 224 223 5
e 225 64 68
e 225 65 66
e 225 66 43
e 225 144 18
e 225 145 59
e 225 146 25
e 225 224 35
e 226 65 59
e 226 66 31
e 226 67 36
e 226 145 65
e 226 146 10
e 226 147 1
e 226 225 55
e 227 66 8
e 227 67 70
e 227 68 63
e 227 146 65
e 227 147 37
e 227 148 44
e 227 226 7
e 228 67 9
e 228 68 24
e 228 69 61
e 228 147 16
e 228 148 44
e 228 149 38
e 228 227 4
e 229 68 44
e 229 69 60
e 229 70 1
e 229 148 29
e 229 149 14
e 229 150 51
e 229 228 44
e 230 69 59
e 230 70 16
e 230 71 40
e 230 149 32
e 230 150 15
e 230 151 44
e 230 229 67
e 231 70 40
e 231 71 6
e 231 72 8
e 231 150 13
e 231 151 66
e 231 152 39
e 231 230 39
e 232 71 61
e 232 72 21
e 232 73 37
e 232 151 61
e 232 152 22
e 232 153 54
e 232 231 64
e 233 72 66
e 233 73 66
e 233 74 37
e 233 152 36
e 233 153 27
e 233 154 46
e 233 232 45
e 234 73 21
e 234 74 32
e 234 75 24
e 234 153 47
e 234 154 61
e 234 155 27
e 234 233 49
e 235 74 6
e 235 75 47
e 235 76 23
e 235 154 64
e 235 155 48
e 235 156 61
e 235 234 29
e 236 75 30
e 236 76 54
e 236 77 5
e 236 155 26
e 236 156 48
e 236 157 39
e 236 235 68
e 237 76 19
e 237 77 53
e 237 78 4
e 237 156 54
e 237 157 25
e 237 158 9
e 237 236 39
e 238 77 48
e 238 78 5
e 238 79 31
e 238 157 33
e 238 158 42
e 238 159 26
e 238 237 14
e 239 78 8
e 239 79 32
e 239 80 48
e 239 158 9
e 239 159 38
e 239 160 38
e 239 238 24
e 240 1 40
e 240 79 51
e 240 80 31
e 240 81 7
e 240 159 32
e 240 160 8
e 240 161 16
e 240 239 4
e 241 1 50
e 241 2 43
e 241 80 70
e 241 81 47
e 241 82 10
e 241 160 59
e 241 161 53
e 241 162 18
e 241 240 3
e 242 1 55
e 242 2 24
e 242 3 61
e 242 81 9
e 242 82 18
e 242 83 49
e 242 161 44
e 242 162 15
e 242 163 13
e 242 241 4
e 243 2 17
e 243 3 55
e 243 4 35
e 243 82 18
e 243 83 7
e 243 84 2
e 243 162 16
e 243 163 10
e 243 164 24
e 243 242 61
e 244 3 14
e 244 4 56
e 244 5 52
e 244 83 11
e 244 84 33
e 244 85 5
e 244 163 5
e 244 164 32
e 244 165 54
e 244 243 9
e 245 4 32
e 245 5 3
e 245 6 19
e 245 84 48
e 245 85 45
e 245 86 64
e 245 164 42
e 245 165 64
e 245 166 4
e 245 244 67
e 246 5 30
e 246 6 29
e 246 7 37
e 246 85 28
e 246 86 31
e 246 87 1
e 246 165 11
e 246 166 70
e 246 167 60
e 246 245 54
e 247 6 43
e 247 7 35
e 247 8 65
e 247 86 25
e 247 87 40
e 247 88 43
e 247 166 32
e 247 167 63
e 247 168 51
e 247 246 43
e 248 7 1
e 248 8 68
e 248 9 30
e 248 87 58
e 248 88 67
e 248 89 58
e 248 167 1
e 248 168 17
e 248 169 54
e 248 247 57
e 249 8 12
e 249 9 43
e 249 10 53
e 249 88 56
e 249 89 51
e 249 90 2
e 249 168 25
e 249 169 55
e 249 170 15
e 249 248 39
e 250 9 7
e 250 10 69
e 250 11 65
e 250 89 33
e 250 90 30
e 250 91 19
e 250 169 3
e 250 170 33
e 250 171 64
e 250 249 41
e 251 10 40
e 251 11 55
e 251 12 10
e 251 90 50
e 251 91 35
e 251 92 18
e 251 170 2
e 251 171 15
e 251 172 69
e 251 250 22
e 252 11 12
e 252 12 11
e 252 13 43
e 252 91 17
e 252 92 27
e 252 93 69
e 252 171 58
e 252 172 32
e 252 173 32
e 252 251 20
e 253 12 39
e 253 13 22
e 253 14 9
e 253 92 10
e 253 93 21
e 253 94 17
e 253 172 9
e 253 173 20
e 253 174 19
e 253 252 39
e 254 13 31
e 254 14 59
e 254 15 48
e 254 93 28
e 254 94 13
e 254 95 46
e 254 173 13
e 254 174 1
e 254 175 28
e 254 253 43
e 255 14 42
e 255 15 38
e 255 16 53
e 255 94 9
e 255 95 52
e 255 96 21
e 255 174 67
e 255 175 63
e 255 176 12
e 255 254 26
e 256 15 2
e 256 16 11
e 256 17 50
e 256 95 19
e 256 96 4
e 256 97 16
e 256 175 15
e 256 176 4
e 256 177 49
e 256 255 3
e 257 16 32
e 257 17 25
e 257 18 64
e 257 96 43
e 257 97 9
e 257 98 42
e 257 176 47
e 257 177 11
e 257 178 28
e 257 256 51
e 258 17 47
e 258 18 48
e 258 19 61
e 258 97 10
e 258 98 8
e 258 99 3
e 258 177 65
e 258 178 30
e 258 179 22
e 258 257 1
e 259 18 29
e 259 19 5
e 259 20 69
e 259 98 58
e 259 99 36
e 259 100 69
e 259 178 8
e 259 179 21
e 259 180 65
e 259 258 5
e 260 19 13
e 260 20 21
e 260 21 51
e 260 99 17
e 260 100 25
e 260 101 58
e 260 179 49
e 260 180 45
e 260 181 33
e 260 259 6
e 261 20 28
e 261 21 24
e 261 22 64
e 261 100 7
e 261 101 67
e 261 102 15
e 261 180 51
e 261 181 25
e 261 182 32
e 261 260 64
e 262 21 56
e 262 22 26
e 262 23 7
e 262 101 36
e 262 102 50
e 262 103 50
e 262 181 29
e 262 182 10
e 262 183 7
e 262 261 69
e 263 22 3
e 263 23 12
e 263 24 20
e 263 102 32
e 263 103 4
e 263 104 18
e 263 182 41
e 263 183 14
e 263 184 42
e 263 262 41
e 264 23 26
e 264 24 2
e 264 25 34
e 264 103 53
e 264 104 64
e 264 105 3
e 264 183 9
e 264 184 20
e 264 185 48
e 264 263 47
e 265 24 40
e 265 25 11
e 265 26 14
e 265 104 48
e 265 105 20
e 265 106 35
e 265 184 48
e 265 185 50
e 265 186 25
e 265 264 6
e 266 25 14
e 266 26 64
e 266 27 1
e 266 105 28
e 266 106 52
e 266 107 57
e 266 185 16
e 266 186 49
e 266 187 69
e 266 265 27
e 267 26 14
e 267 27 20
e 267 28 46
e 267 106 16
e 267 107 20
e 267 108 68
e 267 186 16
e 267 187 30
e 267 188 18
e 267 266 37
e 268 27 13
e 268 28 14
e 268 29 49
e 268 107 31
e 268 108 42
e 268 109 31
e 268 187 54
e 268 188 33
e 268 189 27
e 268 267 21
e 269 28 62
e 269 29 5
e 269 30 37
e 269 108 11
e 269 109 10
e 269 110 33
e 269 188 21
e 269 189 19
e 269 190 38
e 269 268 15
e 270 29 58
e 270 30 30
e 270 31 54
e 270 109 21
e 270 110 38
e 270 111 66
e 270 189 37
e 270 190 14
e 270 191 7
e 270 269 52
e 271 30 34
e 271 31 12
e 271 32 42
e 271 110 27
e 271 111 70
e 271 112 10
e 271 190 66
e 271 191 67
e 271 192 50
e 271 270 21
e 272 31 63
e 272 32 65
e 272 33 49
e 272 111 56
e 272 112 27
e 272 113 55
e 272 191 52
e 272 192 18
e 272 193 55
e 272 271 64
e 273 32 15
e 273 33 53
e 273 34 41
e 273 112 31
e 273 113 31
e 273 114 10
e 273 192 25
e 273 193 21
e 273 194 10
e 273 272 56
e 274 33 6
e 274 34 70
e 274 35 24
e 274 113 52
e 274 114 29
e 274 115 68
e 274 193 46
e 274 194 44
e 274 195 1
e 274 273 52
e 275 34 61
e 275 35 60
e 275 36 63
e 275 114 42
e 275 115 52
e 275 116 17
e 275 194 30
e 275 195 12
e 275 196 27
e 275 274 69
e 276 35 12
e 276 36 36
e 276 37 40
e 276 115 8
e 276 116 37
e 276 117 48
e 276 195 43
e 276 196 2
e 276 197 24
e 276 275 15
e 277 36 5
e 277 37 6
e 277 38 65
e 277 116 45
e 277 117 47
e 277 118 62
e 277 196 9
e 277 197 47
e 277 198 39
e 277 276 19
e 278 37 39
e 278 38 43
e 278 39 11
e 278 117 45
e 278 118 56
e 278 119 5
e 278 197 33
e 278 198 64
e 278 199 11
e 278 277 9
e 279 38 56
e 279 39 4
e 279 40 7
e 279 118 69
e 279 119 24
e 279 120 29
e 279 198 8
e 279 199 26
e 279 200 17
e 279 278 28
e 280 39 53
e 280 40 66
e 280 41 15
e 280 119 17
e 280 120 67
e 280 121 53
e 280 199 25
e 280 200 4
e 280 201 69
e 280 279 55
e 281 40 12
e 281 41 12
e 281 42 48
e 281 120 50
e 281 121 40
e 281 122 26
e 281 200 43
e 281 201 43
e 281 202 52
e 281 280 28
e 282 41 17
e 282 42 59
e 282 43 42
e 282 121 44
e 282 122 28
e 282 123 46
e 282 201 7
e 282 202 46
e 282 203 48
e 282 281 39
e 283 42 36
e 283 43 21
e 283 44 7
e 283 122 27
e 283 123 63
e 283 124 44
e 283 202 47
e 283 203 36
e 283 204 15
e 283 282 33
e 284 43 40
e 284 44 16
e 284 45 52
e 284 123 5
e 284 124 3
e 284 125 67
e 284 203 4
e 284 204 25
e 284 205 70
e 284 283 22
e 285 44 1
e 285 45 27
e 285 46 60
e 285 124 10
e 285 125 8
e 285 126 24
e 285 204 14
e 285 205 35
e 285 206 28
e 285 284 28
e 286 45 37
e 286 46 36
e 286 47 55
e 286 125 45
e 286 126 40
e 286 127 55
e 286 205 57
e 286 206 42
e 286 207 33
e 286 285 39
e 287 46 69
e 287 47 29
e 287 48 11
e 287 126 21
e 287 127 19
e 287 128 50
e 287 206 31
e 287 207 35
e 287 208 12
e 287 286 9
e 288 47 17
e 288 48 36
e 288 49 44
e 288 127 37
e 288 128 47
e 288 129 23
e 288 207 6
e 288 208 66
e 288 209 38
e 288 287 60
e 289 48 5
e 289 49 27
e 289 50 29
e 289 128 54
e 289 129 36
e 289 130 51
e 289 208 38
e 289 209 36
e 289 210 43
e 289 288 11
e 290 49 20
e 290 50 64
e 290 51 43
e 290 129 18
e 290 130 32
e 290 131 6
e 290 209 21
e 290 210 4
e 290 211 62
e 290 289 57
e 291 50 30
e 291 51 67
e 291 52 50
e 291 130 60
e 291 131 66
e 291 132 38
e 291 210 42
e 291 211 29
e 291 212 23
e 291 290 63
e 292 51 55
e 292 52 7
e 292 53 35
e 292 131 46
e 292 132 20
e 292 133 19
e 292 211 7
e 292 212 26
e 292 213 3
e 292 291 59
e 293 52 44
e 293 53 44
e 293 54 35
e 293 132 9
e 293 133 22
e 293 134 51
e 293 212 34
e 293 213 17
e 293 214 61
e 293 292 15
e 294 53 39
e 294 54 69
e 294 55 26
e 294 133 36
e 294 134 43
e 294 135 43
e 294 213 32
e 294 214 59
e 294 215 32
e 294 293 34
e 295 54 19
e 295 55 52
e 295 56 56
e 295 134 4
e 295 135 49
e 295 136 52
e 295 214 18
e 295 215 57
e 295 216 51
e 295 294 53
e 296 55 69
e 296 56 17
e 296 57 54
e 296 135 44
e 296 136 51
e 296 137 10
e 296 215 47
e 296 216 58
e 296 217 36
e 296 295 62
e 297 56 42
e 297 57 41
e 297 58 19
e 297 136 37
e 297 137 33
e 297 138 37
e 297 216 43
e 297 217 53
e 297 218 12
e 297 296 7
e 298 57 19
e 298 58 17
e 298 59 24
e 298 137 43
e 298 138 21
e 298 139 60
e 298 217 56
e 298 218 22
e 298 219 23
e 298 297 12
e 299 58 13
e 299 59 45
e 299 60 56
e 299 138 46
e 299 139 34
e 299 140 56
e 299 218 55
e 299 219 61
e 299 220 67
e 299 298 66
e 300 59 28
e 300 60 63
e 300 61 36
e 300 139 14
e 300 140 24
e 300 141 23
e 300 219 53
e 300 220 6
e 300 221 65
e 300 299 48
e 301 60 16
e 301 61 35
e 301 62 5
e 301 140 7
e 301 141 10
e 301 142 68
e 301 220 47
e 301 221 48
e 301 222 34
e 301 300 3
e 302 61 65
e 302 62 27
e 302 63 34
e 302 141 63
e 302 142 62
e 302 143 1
e 302 221 62
e 302 222 30
e 302 223 12
e 302 301 35
e 303 62 16
e 303 63 13
e 303 64 54
e 303 142 1
e 303 143 48
e 303 144 22
e 303 222 33
e 303 223 40
e 303 224 57
e 303 302 46
e 304 63 36
e 304 64 50
e 304 65 65
e 304 143 52
e 304 144 59
e 304 145 5
e 304 223 46
e 304 224 49
e 304 225 47
e 304 303 25
e 305 64 29
e 305 65 11
e 305 66 16
e 305 144 22
e 305 145 55
e 305 146 53
e 305 224 18
e 305 225 68
e 305 226 53
e 305 304 67
e 306 65 6
e 306 66 1
e 306 67 67
e 306 145 26
e 306 146 31
e 306 147 33
e 306 225 64
e 306 226 43
e 306 227 45
e 306 305 7
e 307 66 65
e 307 67 3
e 307 68 14
e 307 146 46
e 307 147 70
e 307 148 44
e 307 226 35
e 307 227 46
e 307 228 68
e 307 306 11
e 308 67 14
e 308 68 41
e 308 69 16
e 308 147 55
e 308 148 24
e 308 149 30
e 308 227 35
e 308 228 16
e 308 229 22
e 308 307 61
e 309 68 11
e 309 69 33
e 309 70 4
e 309 148 50
e 309 149 52
e 309 150 12
e 309 228 21
e 309 229 30
e 309 230 38
e 309 308 17
e 310 69 50
e 310 70 48
e 310 71 32
e 310 149 33
e 310 150 31
e 310 151 63
e 310 229 1
e 310 230 6
e 310 231 51
e 310 309 32
e 311 70 29
e 311 71 70
e 311 72 9
e 311 150 16
e 311 151 9
e 311 152 7
e 311 230 31
e 311 231 32
e 311 232 62
e 311 310 59
e 312 71 10
e 312 72 24
e 312 73 61
e 312 151 44
e 312 152 38
e 312 153 42
e 312 231 41
e 312 232 64
e 312 233 8
e 312 311 66
e 313 72 11
e 313 73 48
e 313 74 29
e 313 152 7
e 313 153 36
e 313 154 25
e 313 232 1
e 313 233 28
e 313 234 31
e 313 312 29
e 314 73 64
e 314 74 18
e 314 75 52
e 314 153 4
e 314 154 52
e 314 155 42
e 314 233 18
e 314 234 64
e 314 235 46
e 314 313 1
e 315 74 44
e 315 75 52
e 315 76 63
e 315 154 6
e 315 155 49
e 315 156 25
e 315 234 2
e 315 235 2
e 315 236 16
e 315 314 56
e 316 75 27
e 316 76 5
e 316 77 22
e 316 155 29
e 316 156 28
e 316 157 18
e 316 235 62
e 316 236 8
e 316 237 69
e 316 315 65
e 317 76 19
e 317 77 55
e 317 78 36
e 317 156 39
e 317 157 60
e 317 158 56
e 317 236 27
e 317 237 11
e 317 238 12
e 317 316 65
e 318 77 38
e 318 78 8
e 318 79 53
e 318 157 62
e 318 158 42
e 318 159 49
e 318 237 12
e 318 238 54
e 318 239 12
e 318 317 35
e 319 78 43
e 319 79 46
e 319 80 51
e 319 158 31
e 319 159 4
e 319 160 51
e 319 238 63
